het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
A1CO1,CSc1[nH]c2ccccc2n1,CSc1nc2ccccc2[nH]1,7.4,3,3.16;5.98;9.45,,pkasolver
A1CO2,C[C@H]1C(=O)Nc2cc(ccc2S1)C(F)(F)F,C[C@@H]1Sc2ccc(C(F)(F)F)cc2NC1=O,7.4,2,5.69;8.58,,pkasolver
A1CO3,CN(C[C@@H](CO)O)c1ccc(cn1)C(F)(F)F,CN(C[C@H](O)CO)c1ccc(C(F)(F)F)cn1,7.4,4,3.21;4.20;9.87;9.89,,pkasolver
A1CO5,COc1ccc(cc1)C2=NC(=O)S=C2,COc1ccc(C2=NC(=O)[SH]=C2)cc1,7.4,0,,,pkasolver:no_ionizable
A1CO6,COc1ccc(cc1)C2=NC(=O)NC(=O)C2,COc1ccc(C2=NC(=O)NC(=O)C2)cc1,7.4,1,9.63,,pkasolver
A1CO7,COc1ccc2cc([nH]c2c1)C(=O)O,COc1ccc2cc(C(=O)[O-])[nH]c2c1,7.4,3,3.70;5.44;10.10,,pkasolver
A1CO8,c1ccc2c(c1)[nH]c(n2)CC(=O)N,NC(=O)Cc1nc2ccccc2[nH]1,7.4,5,3.81;4.10;5.51;7.52;10.28,,pkasolver
A1CO9,c1cc(cc2c1cc([nH]2)CO)Br,OCc1cc2ccc(Br)cc2[nH]1,7.4,3,4.56;9.32;10.91,,pkasolver
A1COM,Cc1nc(cs1)c2cccnc2,Cc1nc(-c2cccnc2)cs1,7.4,2,3.41;3.71,,pkasolver
A1CON,c1cc(ncc1C(F)(F)F)SCC(=O)N,[NH3+]C(=O)CSc1ccc(C(F)(F)F)cn1,7.4,3,2.62;7.89;9.99,,pkasolver
A1COO,c1cc(ccc1C(=S)N)F,NC(=S)c1ccc(F)cc1,7.4,1,3.02,,pkasolver
A1COP,C[C@H](c1[nH]c2ccccc2n1)O,C[C@@H](O)c1nc2ccccc2[nH]1,7.4,4,3.95;5.83;9.64;10.14,,pkasolver
A1COQ,c1cc(c(cc1F)F)C(=S)N,NC(=S)c1ccc(F)cc1F,7.4,1,3.20,,pkasolver
A1COR,CC1=Nc2ccc(cc2C(=O)O1)Br,Cc1nc2ccc(Br)cc2c(=O)o1,7.4,1,2.98,,pkasolver
A1COV,c1ccc2c(c1)C(=O)N3C=CC=CC3=N2,O=c1c2ccccc2nc2ccccn12,7.4,1,3.31,,pkasolver
A1COW,CSc1nccn1C(=O)c2ccc(cc2)Cl,CSc1nccn1C(=O)c1ccc(Cl)cc1,7.4,1,3.77,,pkasolver
A1COX,COC(=O)c1ccc2cc[nH]c2c1,COC(=O)c1ccc2cc[nH]c2c1,7.4,2,3.85;10.55,,pkasolver
A1COY,Cc1cc(no1)C(=S)N,Cc1cc(C(N)=S)no1,7.4,2,2.62;3.17,,pkasolver
A1COZ,c1cc(ccc1NC(=S)N)Cl,NC(=S)Nc1ccc(Cl)cc1,7.4,2,5.21;11.18,,pkasolver
