het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
628,c1cc(c(c(c1)Cl)C(=O)c2ccc3nc(cn3c2)Nc4ccc(cc4)S(=O)(=O)N)Cl,NS(=O)(=O)c1ccc(Nc2cn3cc(C(=O)c4c(Cl)cccc4Cl)ccc3n2)cc1,7.4,5,2.92;3.57;6.83;8.89;9.49,pkasolver
62K,CC(C)COC(=O)c1ccc2c(c1)/C(=N/Nc3ccc(cc3)S(=O)(=O)N)/C(=O)N2,CC(C)COC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,7.4,6,3.88;4.09;6.59;8.59;9.40;10.34,pkasolver
65L,c1cc(c(cc1n2ccc(n2)CO)F)Nc3cc4c(ccc(n4)OC5CCNCC5)cn3,OCc1ccn(-c2ccc(Nc3cc4nc(OC5CC[NH2+]CC5)ccc4cn3)c(F)c2)n1,7.4,7,3.74;3.86;4.70;5.44;9.16;9.35;9.89,pkasolver
6AE,C[C@H]([C@@H](C)O)Nc1ccnc(n1)Nc2ccc(cc2)S(=O)(=O)N,C[C@@H](O)[C@@H](C)[NH2+]c1ccnc(Nc2ccc(S(N)(=O)=O)cc2)n1,7.4,7,3.37;3.57;5.51;6.99;8.73;9.22;9.80,pkasolver
6AF,C[C@H]([C@@H](C)Oc1c(cnc(n1)Nc2ccc(cc2)S(=N)(=O)C3CC3)Br)O,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1Br,7.4,4,3.28;4.95;7.82;8.51,pkasolver
6CP,c1cc(cc(c1)Cl)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,Clc1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1,7.4,6,3.61;3.91;4.45;5.55;8.87;9.77,pkasolver
6QB,Cn1c(ccn1)Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(c(c4)F)Cl,Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,7.4,5,3.37;3.94;4.46;7.75;8.06,pkasolver
6SC,c1ccc(cc1)c2cc(n3c(n2)c(cn3)Br)NCc4ccncc4,Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,7.4,5,2.96;3.30;4.23;5.59;9.67,pkasolver
6ZK,c1cc(cnc1)CNc2cc(nc3n2ncc3Br)c4ccc(cc4)c5ccc(cc5)C(=O)N,NC(=O)c1ccc(-c2ccc(-c3cc(NCc4cccnc4)n4ncc(Br)c4n3)cc2)cc1,7.4,6,3.21;3.75;4.95;6.00;8.09;9.35,pkasolver
72L,c1ccc(cc1)c2cccc(c2)c3c4c(nc[nH]4)nc(n3)Nc5ccc(cc5)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2nc(-c3cccc(-c4ccccc4)c3)c3[nH]cnc3n2)cc1,7.4,7,3.85;3.87;4.42;6.78;8.50;9.06;9.76,pkasolver
740,c1cc(ccc1CC(=O)Nc2c3cc(ccc3[nH]n2)N4CCCS4(=O)=O)N5CCCCC5,O=C(Cc1ccc(N2CCCCC2)cc1)[NH2+]c1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,7.4,6,4.34;6.43;6.82;7.66;10.45;10.67,pkasolver
75X,Cc1c(cccc1O)c2[nH]c3c(n2)nc(nc3OCC4CCCCC4)N,Cc1c(O)cccc1-c1nc2nc(N)nc(OCC3CCCCC3)c2[nH]1,7.4,7,4.52;5.07;6.22;6.70;8.48;9.19;9.83,pkasolver
7TH,c1ccc(cc1)CCCNc2ccc(cc2C(=O)O)[N+](=O)[O-],O=C([O-])c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,7.4,3,3.71;4.24;8.22,pkasolver
7YG,CN(C)CCNS(=O)(=O)c1ccc(cc1)c2cnc(c(n2)C(=O)Nc3cccnc3)N,C[NH+](C)CCNS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,7.4,10,3.91;5.03;5.19;5.60;6.15;6.98;8.51;8.75;9.22;10.25,pkasolver
7ZX,c1c(con1)Br,Brc1cnoc1,7.4,1,2.42,pkasolver
80E,COC(=O)c1ccc(c(c1)C(=O)O)NCCc2c[nH]c3c2cccc3,COC(=O)c1ccc(NCCc2c[n-]c3ccccc23)c(C(=O)[O-])c1,7.4,5,3.59;4.05;4.93;6.95;9.15,pkasolver
889,CC(C)CC(=O)Nc1c2c([nH]n1)C(N(C2)C(=O)C3CCN(CC3)C)(C)C,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CC[NH+](C)CC1)C2(C)C,7.4,7,5.15;5.27;5.78;6.11;7.81;8.73;9.52,pkasolver
88O,c1cc(c(cc1[N+](=O)[O-])C(=O)O)NCCc2c[nH]c3c2ccc(c3)Cl,O=C([O-])c1cc([N+](=O)[O-])ccc1NCCc1c[n-]c2cc(Cl)ccc12,7.4,5,3.57;3.98;4.79;6.55;8.65,pkasolver
89E,c1ccc-2c(c1)Cc3c2n[nH]c3c4ccncc4,c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1,7.4,3,5.19;5.34;9.61,pkasolver
8FI,c1ccc2c(c1)c([nH]n2)CCNc3ccc(cc3C(=O)O)C(F)(F)F,O=C([O-])c1cc(C(F)(F)F)ccc1NCCc1[n-]nc2ccccc12,7.4,6,3.33;3.64;4.38;4.63;6.64;8.99,pkasolver
8IL,c1ccc2c(c1)c(c[nH]2)CCNc3ccc(cc3C(=O)O)C(F)(F)F,O=C([O-])c1cc(C(F)(F)F)ccc1NCCc1c[n-]c2ccccc12,7.4,5,3.65;4.04;4.91;7.09;9.19,pkasolver
8IQ,c1ccc2c(c1)c(c[nH]2)CCNc3ccc(cc3C(=O)O)OC(F)(F)F,O=C([O-])c1cc(OC(F)(F)F)ccc1NCCc1c[nH]c2ccccc12,7.4,5,4.22;4.78;5.55;7.57;9.33,pkasolver
8KF,c1ccc2c(c1)c3cc(ccc3[nH]2)Nc4ccc(cc4C(=O)O)C(F)(F)F,O=C([O-])c1cc(C(F)(F)F)ccc1Nc1ccc2[n-]c3ccccc3c2c1,7.4,5,3.90;4.50;5.39;6.99;9.44,pkasolver
8KQ,c1ccc2c(c1)c3c([nH]2)CC[C@H](C3)Nc4ccc(cc4C(=O)O)C(F)(F)F,O=C([O-])c1cc(C(F)(F)F)ccc1N[C@@H]1CCc2[n-]c3ccccc3c2C1,7.4,4,3.44;3.99;4.28;6.61,pkasolver
8QT,CC[C@@H]([C@@H](C)O)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3cccnc3,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,7.4,7,4.36;4.48;4.75;5.93;6.28;8.72;9.09,pkasolver
99Z,Cc1ccccc1C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,Cc1ccccc1C(=O)c1sc(Nc2ccc(S(N)(=O)=O)cc2)nc1N,7.4,6,3.21;3.69;7.37;9.27;9.50;9.93,pkasolver
9YZ,CCC(=O)N1CCN(c2c1cccc2)C(=O)OC,CCC(=O)N1CCN(C(=O)OC)c2ccccc21,7.4,2,2.78;3.72,pkasolver
9Z2,CCC(=O)Nc1ccc(cc1)c2ncccn2,CCC(=O)Nc1ccc(-c2ncccn2)cc1,7.4,3,3.13;5.78;10.71,pkasolver
9ZB,CCC(=O)N1CCN(c2c1cccc2)CC,CCC(=O)N1CCN(CC)c2ccccc21,7.4,2,4.31;5.11,pkasolver
A07,CCCC(=O)Nc1c2cc(c(cc2[nH]n1)Cl)c3ccccc3,CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12,7.4,5,3.89;5.56;6.38;9.44;9.84,pkasolver
A1AC4,C[C@H]([C@@H](C(=O)N1CCOCC1)NC(=O)[C@@H]2CN(CC23CN(C3)C(=O)[C@H]4CC4(C)C)C(=O)c5cncs5)OCC6CCCCC6,C[C@@H](OCC1CCCCC1)[C@H](NC(=O)[C@@H]1C[NH+](C(=O)c2cncs2)CC12C[NH+](C(=O)[C@H]1CC1(C)C)C2)C(=O)[NH+]1CCOCC1,7.4,5,5.27;5.94;6.52;6.54;7.79,pkasolver
A1AC5,C[C@H]([C@@H](C(=O)NC)NC(=O)[C@@H]1CN(CC12CN(C2)C(=O)[C@H]3CC3(C)C)C(=O)c4cnn(c4)Cc5ccccc5)OCCC6CCCCC6,CNC(=O)[C@@H](NC(=O)[C@@H]1C[NH+](C(=O)c2cnn(Cc3ccccc3)c2)CC12C[NH+](C(=O)[C@H]1CC1(C)C)C2)[C@@H](C)OCCC1CCCCC1,7.4,7,5.11;5.49;6.67;6.72;6.83;8.13;8.56,pkasolver
A1AQZ,Cc1cc(c(c2c1C(=O)NC3=C(C(=O)[C@H]([C@]([C@H]3O2)(C)OC)O)C)C)O,CO[C@@]1(C)[C@H](O)C(=O)C(C)=C2[N-]C(=O)c3c(C)cc([O-])c(C)c3O[C@@H]21,7.4,4,3.93;4.38;6.23;8.36,pkasolver
A1B7G,Cc1cc(ccc1Nc2ncc(c(n2)N3CCC[C@](C3)(C)O)C(F)(F)F)S(=O)(=O)NC4CCC(CC4)CN5CCN(CC5)c6ccc(c(c6)Cl)[C@H]7C=CC(=O)NC7=O,Cc1cc(S(=O)(=O)[NH2+]C2CCC(C[NH+]3CCN(c4ccc([C@H]5C=CC(=O)[NH2+]C5=O)c(Cl)c4)CC3)CC2)ccc1Nc1ncc(C(F)(F)F)c(N2CCC[C@](C)(O)C2)n1,7.4,10,6.11;6.92;6.93;7.53;7.58;8.20;8.92;8.98;9.41;10.05,pkasolver
A1B7H,Cc1cc(ccc1Nc2ncc(c(n2)C3CCC(CC3)(C)O)C(F)(F)F)S(=O)(=O)NC,CNS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(C3CCC(C)(O)CC3)n2)c(C)c1,7.4,7,3.84;4.34;6.20;6.50;8.37;8.99;10.37,pkasolver
A1CAE,CC1(CC1)NC(=O)O[C@@H]2CC[C@@H](C2)c3cc(n[nH]3)NC(=O)Cc4ccc(cc4)S(=O)(=O)C,CC1(NC(=O)O[C@@H]2CC[C@H](c3cc(NC(=O)Cc4ccc(S(C)(=O)=O)cc4)n[nH]3)C2)CC1,7.4,6,4.51;5.62;6.24;8.98;9.97;10.12,pkasolver
A1CAF,C[C@H](C1CC1)NC(=O)O[C@@H]2CC[C@@H](C2)c3cc(n[nH]3)NC(=O)C4CCCCC4,C[C@@H](NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)C3CCCCC3)n[nH]2)C1)C1CC1,7.4,6,5.07;6.05;6.40;9.69;10.62;10.67,pkasolver
A1CAG,CC1(CC1)NC(=O)O[C@@H]2CC[C@@H](C2)c3cc(n[nH]3)NC(=O)CCc4cccnc4,CC1(NC(=O)O[C@@H]2CC[C@H](c3cc(NC(=O)CCc4cccnc4)n[nH]3)C2)CC1,7.4,7,5.77;5.96;6.05;6.37;9.09;10.11;10.32,pkasolver
A1CAH,C[C@H](C1CC1)NC(=O)O[C@@H]2CC[C@@H](C2)c3cc(n[nH]3)NC(=O)c4cnccn4,C[C@@H](NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3cnccn3)n[nH]2)C1)C1CC1,7.4,7,4.71;4.95;5.17;5.67;9.16;9.59;10.58,pkasolver
A1CAI,CC(C)NC(=O)O[C@@H]1CC[C@@H](C1)c2cc(n[nH]2)NC(=O)Cc3ccc(cc3)OC,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)cc1,7.4,7,5.14;5.98;5.98;6.44;9.26;10.42;10.56,pkasolver
A1D60,CCS(=O)(=O)N1CCC(CC1)NC(=O)c2c(cn[nH]2)NC(=O)c3c(ccc(c3F)C4CCOCC4)F,CCS(=O)(=O)N1CCC(NC(=O)c2[nH]ncc2NC(=O)c2c(F)ccc(C3CCOCC3)c2F)CC1,7.4,7,3.71;3.85;4.02;4.86;8.08;8.68;9.50,pkasolver
A1D6S,CN1CCC(CC1)N2c3c(cnc(n3)NC4CCN(CC4)S(=O)(=O)C)C=C(C2=O)C#N,C[NH+]1CCC(n2c(=O)c(C#N)cc3cnc(NC4CCN(S(C)(=O)=O)CC4)nc32)CC1,7.4,4,3.98;4.66;5.73;8.30,pkasolver
A1D6Z,CCS(=O)(=O)N1CCC(CC1)NC(=O)c2c(c[nH]n2)NC(=O)c3c(ccc(c3F)C4CCN(CC4)C(=O)CC(=O)OC)F,CCS(=O)(=O)N1CCC(NC(=O)c2n[nH]cc2NC(=O)c2c(F)ccc(C3CCN(C(=O)CC(=O)OC)CC3)c2F)CC1,7.4,8,3.92;4.40;4.82;5.68;7.03;8.19;8.67;9.12,pkasolver
A1EB0,CNC(=O)c1ccc(cc1)c2ccc(c(c2F)C(=O)Nc3c[nH]nc3C(=O)NC4CCC(CC4)N)F,CNC(=O)c1ccc(-c2ccc(F)c(C(=O)Nc3c[nH]nc3C(=O)NC3CCC([NH3+])CC3)c2F)cc1,7.4,8,4.42;4.77;4.96;7.70;8.04;8.42;8.99;9.41,pkasolver
A1EO5,CS(=O)(=O)N1CCC(CC1)Nc2ncc3c(n2)N(C(=O)C=C3)C4CCN(CC4)Cc5cn(nn5)[C@H](CO)c6ccccc6,CS(=O)(=O)N1CCC(Nc2ncc3ccc(=O)n(C4CCN(Cc5cn([C@H](CO)c6ccccc6)nn5)CC4)c3n2)CC1,7.4,6,4.19;5.13;5.21;6.02;7.30;8.29,pkasolver
A1EOM,[H]/N=C(\N)/NCCN1c2c(cnc(n2)NC3CCN(CC3)S(=O)(=O)C)C=C(C1=O)C#N,[H]/[NH+]=C(\N)NCCn1c(=O)c(C#N)cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc21,7.4,4,4.10;4.93;6.19;8.69,pkasolver
A1EOO,[H]/N=C(\N)/NCCCN1c2c(cnc(n2)NC3CCN(CC3)S(=O)(=O)C)C=C(C1=O)C#N,[H]/[NH+]=C(\N)NCCCn1c(=O)c(C#N)cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc21,7.4,4,4.16;5.09;6.37;8.86,pkasolver
A1H6X,c1cc(ccc1S(=O)(=O)N)I,NS(=O)(=O)c1ccc(I)cc1,7.4,2,6.69;9.39,pkasolver
A1H6Y,CS(=O)(=O)c1ccc(cc1)Br,CS(=O)(=O)c1ccc(Br)cc1,7.4,0,,pkasolver:no_ionizable
A1IE9,c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3)S(=O)(=O)F,O=S(=O)(F)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,7.4,6,3.47;3.78;4.15;5.24;8.52;9.46,pkasolver
A1INI,CC(C)[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)N[C@H]3CCN(C3)S(=O)(=O)C,CC(C)[C@H](CO)Nc1nc(N[C@H]2CCN(S(C)(=O)=O)C2)c2ncn(C(C)C)c2n1,7.4,5,3.84;4.53;5.05;5.09;8.68,pkasolver
A1IOI,CCn1cnc2c1nc(nc2Nc3cc(nn3C)S(=O)(=O)C)N4CC(C[C@H]4C(C)(C)O)(F)F,CCn1cnc2c(Nc3cc(S(C)(=O)=O)nn3C)nc(N3CC(F)(F)C[C@H]3C(C)(C)O)nc21,7.4,6,3.45;4.41;4.41;4.80;8.63;9.45,pkasolver
A1IOP,CC[C@@H]([C@@H](C)O)Nc1nc(c2c(n1)n(cn2)CC)N[C@H]3CCN(C3)S(=O)(=O)NCC,CCNS(=O)(=O)[NH+]1CC[C@H]([NH2+]c2nc([NH2+][C@@H](CC)[C@@H](C)O)nc3c2ncn3CC)C1,7.4,6,4.53;5.11;5.70;6.47;7.63;7.98,pkasolver
A27,CCCC(=O)Nc1c2cc(c(cc2[nH]n1)c3ccc(cc3)O)c4ccccc4,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccccc3)cc12,7.4,6,4.55;6.01;7.14;9.01;9.83;10.31,pkasolver
A28,CCCC(=O)Nc1c2cc(c(c(c2[nH]n1)F)F)c3ccccc3,CCCC(=O)Nc1n[nH]c2c(F)c(F)c(-c3ccccc3)cc12,7.4,5,4.20;5.93;6.13;8.79;9.26,pkasolver
AAK,CCC(=O)N1CCN(c2c1cccc2)C(=O)OC(C)(C)C,CCC(=O)N1CCN(C(=O)OC(C)(C)C)c2ccccc21,7.4,2,2.96;3.94,pkasolver
AEQ,CCC(=O)N1CCCc2c1ccc(c2)C(=O)OC,CCC(=O)N1CCCc2cc(C(=O)OC)ccc21,7.4,1,3.84,pkasolver
AJR,CC(C)n1cnc2c1nc(nc2NCc3ccc(cc3)OC)N(CCO)CCO,COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,7.4,8,4.28;4.80;5.72;6.19;6.26;9.25;9.86;10.01,pkasolver
ANP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N,[NH-]c1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)NP(=O)([O-])[O-])[C@@H]([O-])[C@H]1O,7.4,5,3.16;4.29;4.44;6.40;6.96,pkasolver
AQG,CCN(CC)C(=O)c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,7.4,5,3.92;4.71;5.30;8.63;9.82,pkasolver
B49,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C,CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,7.4,7,5.48;5.88;6.74;8.52;8.66;9.46;10.36,pkasolver
B98,COc1ccc2c(c1)c3c(s2)C(=O)N[C@@H](CN3)CN,COc1ccc2sc3c(c2c1)NC[C@@H](C[NH3+])NC3=O,7.4,5,4.59;6.43;8.64;9.21;9.87,pkasolver
BLZ,C[C@H](c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3cnc4c3cc(c(c4)OC)OC,COc1cc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC,7.4,3,4.77;6.72;8.91,pkasolver
BRY,c1ccc2c(c1)C(=O)/C(=C/3\c4cc(ccc4NC3=O)Br)/N2,O=C1Nc2ccc(Br)cc2/C1=C1/Nc2ccccc2C1=O,7.4,4,4.80;5.94;8.02;10.52,pkasolver
BWP,CN(C)C[C@@H](COc1ccc(cc1)Nc2ncc(c(n2)Nc3ccccc3)Br)O,C[NH+](C)C[C@H](O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1,7.4,7,3.82;5.33;5.50;8.40;8.57;9.13;10.00,pkasolver
BYP,CN(C)C[C@H](COc1ccc(cc1)Nc2ncc(c(n2)Nc3ccccc3)Br)O,C[NH+](C)C[C@@H](O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1,7.4,7,3.82;5.33;5.50;8.40;8.57;9.13;10.00,pkasolver
C35,CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)F)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)c2nc(n(n2)c3ccc(cc3)Cl)C,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)NC(=O)c1nc(C)n(-c2ccc(Cl)cc2)n1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(N)=O,7.4,8,5.97;7.37;7.92;8.04;8.52;8.91;9.28;9.55,pkasolver
C53,[H]/N=C\1/NC(=O)/C(=C\c2ccccn2)/S1,[H]/N=C1/NC(=O)/C(=C\c2ccccn2)S1,7.4,2,4.01;5.32,pkasolver
C62,c1cc(ccc1c2ccc(o2)\C=C/3\C(=O)NC(=O)S3)S(=O)(=O)N,NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1,7.4,3,5.80;8.09;8.28,pkasolver
C75,[H]/N=C/1\NC(=O)/C(=C/c2ccc(o2)c3ccc(cc3)S(=O)(=O)NC)/S1,[H]/N=C1\NC(=O)/C(=C/c2ccc(-c3ccc(S(=O)(=O)NC)cc3)o2)S1,7.4,3,5.90;6.04;8.48,pkasolver
C85,[H]/N=C/1\NC(=O)C(=Cc2ccc(o2)c3ccc(cc3)S(=O)(=O)N)S1,[H]/N=C1\NC(=O)C(=Cc2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1,7.4,3,6.30;7.13;8.03,pkasolver
C94,[H]/N=C/1\NC(=O)/C(=C/c2ccc(o2)c3ccc(c(c3)C(F)(F)F)S(=O)(=O)N)/S1,[H]/N=C1\NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,7.4,3,6.05;6.87;7.70,pkasolver
C95,[H]/N=C/1\NC(=O)/C(=C/c2ccc(o2)c3ccc(cc3)C(=O)O)/S1,[H]/N=C1\NC(=O)/C(=C/c2ccc(-c3ccc(C(=O)[O-])cc3)o2)S1,7.4,2,4.07;4.56,pkasolver
C96,[H]/N=C/1\NC(=O)/C(=C(\C)/c2ccc(o2)c3ccc(cc3)S(=O)(=O)N)/S1,[H]/N=C1\NC(=O)/C(=C(\C)c2ccc(-c3ccc(S([NH-])(=O)=O)cc3)o2)S1,7.4,3,4.38;5.39;5.83,pkasolver
CDK,CC1=C(SC(=O)N1C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NCCOC,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3sc(=O)n(C)c3C)n2)cc1,7.4,5,4.75;5.06;5.76;8.54;9.81,pkasolver
CIG,c1c(nc(cn1)Cl)N,Nc1cncc(Cl)n1,7.4,4,2.74;2.90;3.17;8.17,pkasolver
CK1,c1cnc(nc1c2cc(sc2Cl)Cl)N,[NH-]c1nccc(-c2cc(Cl)sc2Cl)n1,7.4,3,2.79;3.92;7.24,pkasolver
CK3,Cc1c(sc(n1)C)c2ccnc(n2)N\C=N/O,Cc1nc(C)c(-c2ccnc(N/C=N\O)n2)s1,7.4,3,3.03;3.63;3.96,pkasolver
CK5,Cc1c(sc(n1)C)c2ccnc(n2)Nc3cccc(c3)O,Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,7.4,5,3.58;4.45;5.37;8.12;8.63,pkasolver
CK6,Cc1c(sc(n1)NC)c2ccnc(n2)Nc3ccc(cc3)O,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,7.4,7,3.51;4.70;5.34;5.67;8.18;8.67;9.66,pkasolver
CK9,CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3O,CC[C@H](CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,7.4,7,4.94;5.08;5.51;6.60;8.60;8.85;9.28,pkasolver
CT6,c1cc(cc(c1)Br)c2cc(n3c(n2)ccn3)NCc4ccncc4,Brc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1,7.4,4,3.04;3.86;5.50;9.64,pkasolver
CT7,CS(=O)(=O)c1ccc(cc1)Nc2cc(nc3n2ncc3)Cl,CS(=O)(=O)c1ccc(Nc2cc(Cl)nc3ccnn23)cc1,7.4,4,2.57;2.68;3.91;8.26,pkasolver
CT8,c1cc(cc(c1)Br)c2cc([n+]3c(n2)nc[nH]3)NCc4ccncc4,Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[n-]cnc3n2)c1,7.4,5,3.38;3.54;3.73;6.44;8.68,pkasolver
CT9,CC(C)c1cnn2c1nc(cc2Nc3ccc(cc3)S(=O)(=O)N(C)C)NC4CCC(CC4)N,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)[NH+](C)C)cc3)cc(NC3CCC(N)CC3)nc12,7.4,5,3.41;3.90;4.57;7.31;8.58,pkasolver
D05,CCc1c2c(n(n1)c3c(cc(cc3Cl)Cl)Cl)N=C(NC2=O)Cc4ccc(c(c4)O)O,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12,7.4,6,4.44;5.37;5.65;7.76;7.92;9.39,pkasolver
D23,CC(C)(C)Nc1c2cc(ccc2nc(n1)C(F)(F)F)c3cccc(c3)N,CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12,7.4,6,3.21;3.55;4.23;6.79;9.94;10.28,pkasolver
D31,c1cc-2c(c(c1)NC(=O)CN3CCC(CC3)CN)C(=O)c4c2n[nH]c4C5CCCCC5,[NH3+]CC1CCN(CC(=O)Nc2cccc3c2C(=O)c2c-3n[nH]c2C2CCCCC2)CC1,7.4,6,5.23;6.10;6.96;7.62;9.11;10.38,pkasolver
D42,Cc1c(sc(n1)C)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NN5CCN(CC5)C,Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)[N-]N4CC[NH+](C)CC4)cccc2-3)s1,7.4,6,3.42;4.38;5.08;6.57;7.04;8.61,pkasolver
D5P,c1cnn(c1)c2ccc(cc2)CNc3c4c(c(n[nH]4)C5CCC5)nc(n3)SCCN,[NH3+]CCSc1nc(NCc2ccc(-n3cccn3)cc2)c2[nH]nc(C3CCC3)c2n1,7.4,8,4.42;5.16;5.18;5.93;6.44;8.39;9.28;9.95,pkasolver
D6I,CN(C)CCCOc1ccc(nc1)Nc2cc(ncn2)n3cnc4c3cccc4,C[NH+](C)CCCOc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1,7.4,6,3.79;4.15;4.51;5.68;8.50;9.07,pkasolver
DT1,c1cc(ccc1Nc2cc(nc3n2ncn3)OCC4CCCCC4)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1,7.4,6,2.96;3.09;3.64;7.04;9.10;9.68,pkasolver
DT2,c1cc(ccc1Nc2cc(nc3n2ncn3)NC4CCCCC4)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2cc([NH2+]C3CCCCC3)nc3ncnn23)cc1,7.4,6,3.35;3.40;5.90;7.21;8.69;9.81,pkasolver
DT4,c1cc(ccc1Nc2cc(nc3n2ncn3)NC4CCC(CC4)N)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2cc(NC3CCC([NH3+])CC3)nc3ncnn23)cc1,7.4,7,3.61;3.66;6.18;7.48;8.82;9.07;9.77,pkasolver
DTQ,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,7.4,5,4.16;4.47;6.53;9.39;10.00,pkasolver
EFP,CC(=O)NC1CC(C1)n2cc(nc2)NC(=O)Cc3ccc(cc3)OC,COc1ccc(CC(=O)Nc2cn(C3CC([NH2+]C(C)=O)C3)cn2)cc1,7.4,5,4.45;5.95;7.64;9.66;10.45,pkasolver
EFQ,COc1ccc(cc1)CC(=O)Nc2cn(cn2)C3CC(C3)O,COc1ccc(CC(=O)Nc2cn(C3CC(O)C3)cn2)cc1,7.4,4,4.15;6.48;9.47;10.32,pkasolver
ES4,c1[nH]c2c(n1)c(ncn2)Cl,Clc1ncnc2[nH]cnc12,7.4,4,2.57;3.10;4.50;8.06,pkasolver
