family,ligand_id,x,y,z,dx,dy,dz
LumpedHydrophobe,MCULE-8409240289,3.602,1.653,0.045,,,
Donor,Z9135329515,6.295,3.21,-0.985,0.018,-0.841,-0.541
Acceptor,Z9135329515,6.295,3.21,-0.985,0.27,0.302,-0.914
Acceptor,Z9135329515,6.937,2.862,2.245,0.335,-0.039,0.941
PosIonizable,Z9135329515,-2.148,-0.751,0.238,,,
Aromatic,Z9135329515,-0.878,-0.136,0.278,0.279,-0.62,0.733
Aromatic,Z9135329515,3.075,1.582,0.336,0.338,-0.804,-0.489
LumpedHydrophobe,Z9135329515,3.075,1.582,0.336,,,
Donor,MCULE-4411896303,-3.414,-0.888,1.334,-0.576,-0.7,-0.423
Donor,MCULE-4411896303,-3.026,-2.772,-0.656,0.531,-0.782,0.325
Acceptor,MCULE-4411896303,-3.414,-0.888,1.334,-0.927,0.189,0.325
Acceptor,MCULE-4411896303,-3.026,-2.772,-0.656,-0.6,-0.799,-0.046
Acceptor,MCULE-4411896303,4.927,3.515,-1.191,0.999,-0.021,-0.039
Acceptor,MCULE-4411896303,6.362,1.311,-0.658,0.401,-0.258,-0.879
Acceptor,MCULE-4411896303,5.107,-1.017,0.366,0.041,-0.398,0.916
PosIonizable,MCULE-4411896303,0.169,-0.028,0.584,,,
Aromatic,MCULE-4411896303,3.638,1.281,-0.144,0.182,0.332,0.926
LumpedHydrophobe,MCULE-4411896303,3.638,1.281,-0.144,,,
Donor,OSSM_044765,5.707,3.096,-1.155,0.734,-0.662,-0.152
Acceptor,OSSM_044765,5.707,3.096,-1.155,0.806,0.553,-0.213
Acceptor,OSSM_044765,5.945,0.44,-1.101,0.753,0.62,-0.22
PosIonizable,OSSM_044765,-2.631,-0.709,0.976,,,
PosIonizable,OSSM_044765,-2.625,-3.133,1.079,,,
Aromatic,OSSM_044765,3.481,1.6,-0.568,-0.229,-0.04,-0.973
LumpedHydrophobe,OSSM_044765,3.481,1.6,-0.568,,,
Donor,OSSL_639641,5.615,2.984,-1.156,0.713,-0.646,-0.272
Acceptor,OSSL_639641,1.361,3.115,0.904,0.017,0.99,-0.139
Acceptor,OSSL_639641,-0.666,3.259,1.91,-0.754,0.575,0.317
Acceptor,OSSL_639641,5.615,2.984,-1.156,0.749,0.505,-0.429
PosIonizable,OSSL_639641,-2.104,-0.53,0.403,,,
Aromatic,OSSL_639641,3.531,1.625,0.031,-0.435,-0.112,-0.893
LumpedHydrophobe,OSSL_639641,3.531,1.625,0.031,,,
Donor,MCULE-4460325065,-7.936,-2.651,0.906,-0.541,0.841,-0.024
Acceptor,MCULE-4460325065,5.792,3.356,-1.184,0.082,0.987,-0.139
Acceptor,MCULE-4460325065,6.157,0.971,-1.144,0.374,-0.921,-0.106
Acceptor,MCULE-4460325065,-4.467,-2.848,-0.266,0.704,-0.706,-0.08
Acceptor,MCULE-4460325065,-7.936,-2.651,0.906,-0.89,-0.256,0.378
Acceptor,MCULE-4460325065,-7.377,-0.063,0.047,-0.728,0.681,0.08
PosIonizable,MCULE-4460325065,-1.768,-1.522,-0.237,,,
PosIonizable,MCULE-4460325065,0.5,0.297,0.678,,,
Aromatic,MCULE-4460325065,3.838,1.853,-0.024,0.459,0.084,0.884
LumpedHydrophobe,MCULE-4460325065,3.838,1.853,-0.024,,,
Donor,8012-9271,5.615,2.984,-1.156,0.713,-0.646,-0.272
Acceptor,8012-9271,1.361,3.115,0.904,0.017,0.99,-0.139
Acceptor,8012-9271,-0.666,3.259,1.91,-0.754,0.575,0.317
Acceptor,8012-9271,5.615,2.984,-1.156,0.749,0.505,-0.429
PosIonizable,8012-9271,-2.104,-0.53,0.403,,,
Aromatic,8012-9271,3.531,1.625,0.031,-0.435,-0.112,-0.893
LumpedHydrophobe,8012-9271,3.531,1.625,0.031,,,
Donor,STK657641,5.707,3.096,-1.155,0.734,-0.662,-0.152
Acceptor,STK657641,5.707,3.096,-1.155,0.806,0.553,-0.213
Acceptor,STK657641,5.945,0.44,-1.101,0.753,0.62,-0.22
PosIonizable,STK657641,-2.631,-0.709,0.976,,,
PosIonizable,STK657641,-2.625,-3.133,1.079,,,
Aromatic,STK657641,3.481,1.6,-0.568,-0.229,-0.04,-0.973
LumpedHydrophobe,STK657641,3.481,1.6,-0.568,,,
Donor,Z3522831516,-0.548,1.368,0.641,,,
Donor,Z3522831516,5.786,3.058,-1.215,0.772,-0.617,-0.154
Acceptor,Z3522831516,-1.936,2.62,1.976,-0.38,0.892,0.243
Acceptor,Z3522831516,5.786,3.058,-1.215,0.738,0.541,-0.404
PosIonizable,Z3522831516,-3.204,-0.923,0.673,,,
Aromatic,Z3522831516,3.704,1.625,-0.095,-0.352,-0.201,-0.914
LumpedHydrophobe,Z3522831516,3.704,1.625,-0.095,,,
Donor,MCULE-4880777263,5.886,2.745,-1.238,0.983,0.165,-0.079
