het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
UC4,CC1=C(SCCO1)C(=O)Nc2ccc(c(c2)C(=O)OC(C)C)Cl,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1,7.4,2,4.14;6.65,amide:1,pkasolver+weak_acid_guard
V96,c1cc(c(cc1C[C@@H](C(=O)O)N)c2c(c3c(c(c2O)O)C(=O)c4cc(c(c(c4C3=O)C(=O)O)C(=O)O)O)O)O,N[C@@H](Cc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)[O-])c2C(=O)[O-])C3=O)c1)C(=O)[O-],7.4,9,3.51;3.77;3.99;4.88;10.00;10.00;10.00;10.00;10.00,phenol:5,pkasolver+weak_acid_guard
V9O,c1cc(c(cc1CCN)c2c(c3c(c(c2O)O)C(=O)c4cc(c(c(c4C3=O)C(=O)O)C(=O)O)O)O)O,NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)[O-])c2C(=O)[O-])C3=O)c1,7.4,8,3.76;3.97;4.78;10.00;10.00;10.00;10.00;10.00,phenol:5,pkasolver+weak_acid_guard
VA9,CC(=O)NCCc1ccc(c(c1)c2c(c3c(c(c2O)O)C(=O)c4cc(c(c(c4C3=O)C(=O)O)C(=O)O)O)O)O,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)[O-])c2C(=O)[O-])C3=O)c1,7.4,9,3.73;3.94;4.27;4.96;10.00;10.00;10.00;10.00;10.00,amide:1;phenol:5,pkasolver+weak_acid_guard
X7H,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)NC(=O)CCl,CC(C)C[NH+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(NC(=O)CCl)cc1,7.4,6,3.72;4.38;4.58;8.33;8.34;8.88,,pkasolver
XK2,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc4ccccc4c3)Cc5ccc6ccccc6c5)Cc7ccccc7)O)O,O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)[NH+]1Cc1ccc2ccccc2c1,7.4,2,6.39;8.42,,pkasolver
XRL,Cc1cc(cc(c1N2CCC(=O)Nc3c2nc(nc3)Nc4ccc(cc4)C#N)C)/C=C/C#N,Cc1cc(/C=C/C#N)cc(C)c1N1CCC(=O)Nc2cnc(Nc3ccc(C#N)cc3)nc21,7.4,7,3.36;4.48;4.77;4.93;5.87;9.08;9.49,,pkasolver
YO9,Cc1cc(cc(c1N2c3c(cnc(n3)Nc4ccc(cc4)C#N)NC2=O)C)/C=C/C#N,Cc1cc(/C=C/C#N)cc(C)c1-n1c(=O)[nH]c2cnc(Nc3ccc(C#N)cc3)nc21,7.4,4,3.54;4.95;7.95;8.78,,pkasolver
ZJ2,Cc1cc(cc(c1N2CC(=O)Nc3c2nc(nc3)Nc4ccc(cc4)C#N)C)/C=C/C#N,Cc1cc(/C=C/C#N)cc(C)c1N1CC(=O)Nc2cnc(Nc3ccc(C#N)cc3)nc21,7.4,7,3.44;4.40;4.79;4.94;5.84;8.79;9.50,,pkasolver
ZQT,c1c(cc2c(c1O)Cc3c(cc(cc3O2)O)O)O,Oc1cc(O)c2c(c1)Oc1cc(O)cc(O)c1C2,7.4,4,10.00;10.00;10.00;10.00,phenol:4,pkasolver+weak_acid_guard
