het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
MVO,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCOCC2)CC1,7.4,5,4.04;6.90;7.56;8.91;9.98,,pkasolver
MVU,c1ccc(cc1)NC2(CCCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccccc3)CCCCC2)CC1,7.4,5,4.43;7.18;7.72;9.04;10.42,,pkasolver
N0L,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC(CC3)CCCNC(=O)CCl)Cl,O=C(CCl)NCCCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCOCC2)CC1,7.4,5,4.19;7.19;7.80;9.03;10.01,,pkasolver
N1R,CC(C)(C(=O)N1CCC(CC1)CCCNC(=O)CCl)Oc2ccc(cc2)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)[NH+]1CCC(CCCNC(=O)CCl)CC1,7.4,3,7.62;8.05;9.45,,pkasolver
ND1,CN(C)C(=O)C=CCNCCOc1ccc(cn1)/C(=C(/CC(F)(F)F)\c2ccccc2)/c3ccc4c(c3)c([nH]n4)F,CN(C)C(=O)C=CC[NH2+]CCOc1ccc(/C(=C(/CC(F)(F)F)c2ccccc2)c2ccc3n[nH]c(F)c3c2)cn1,7.4,6,3.94;4.23;4.70;6.76;7.62;8.38,,pkasolver
ND9,c1ccc(cc1)OC2(CCC(CC2)N)C(=O)N3CCC(CC3)CNC(=O)CCl,[NH3+]C1CCC(Oc2ccccc2)(C(=O)N2CCC(CNC(=O)CCl)CC2)CC1,7.4,4,7.27;7.86;8.97;9.15,,pkasolver
NE5,c1ccc(cc1)C(=O)C2=C(C(=O)N([C@@H]2c3ccc(cc3)[N+](=O)[O-])c4ccc(c(c4)C(=O)O)O)O,O=C(C1=C([O-])C(=O)N(c2ccc(O)c(C(=O)[O-])c2)[C@@H]1c1ccc([N+](=O)[O-])cc1)c1ccccc1,7.4,4,2.86;2.98;4.76;10.00,phenol:1,pkasolver+weak_acid_guard
NE9,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC4(CC3)CC(C4)NC(=O)CCl)Cl,O=C(CCl)NC1CC2(CC[NH+](C(=O)C3(Nc4ccc(Cl)cc4)CCOCC3)CC2)C1,7.4,5,4.02;6.49;7.12;8.96;9.94,,pkasolver
NF9,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC(CC3)CCNC(=O)CCl)Cl,O=C(CCl)NCCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCOCC2)CC1,7.4,5,4.09;7.11;7.74;8.95;9.99,,pkasolver
NG9,CC1(CC(CC(O1)(C)C)(C(=O)N2CCC(CC2)CNC(=O)CCl)Nc3ccc(cc3)Cl)C,CC1(C)CC(Nc2ccc(Cl)cc2)(C(=O)N2CCC(CNC(=O)CCl)CC2)CC(C)(C)O1,7.4,5,4.22;6.89;7.66;8.82;9.80,,pkasolver
