family,ligand_id,x,y,z,dx,dy,dz
Donor,G785-0920,-1.637,3.409,-4.004,0.657,-0.267,0.705
Donor,G785-0920,1.26,0.936,1.326,-0.026,0.818,-0.575
Acceptor,G785-0920,-4.994,2.008,-4.149,-0.923,-0.134,-0.361
Acceptor,G785-0920,-1.797,4.497,-6.049,-0.48,0.191,-0.856
Acceptor,G785-0920,0.126,-0.906,2.075,-0.077,-0.767,0.638
Aromatic,G785-0920,-3.891,2.171,-3.731,0.331,-0.731,-0.597
Aromatic,G785-0920,-6.035,-0.466,-1.636,0.341,-0.743,-0.576
LumpedHydrophobe,G785-0920,-6.035,-0.466,-1.636,,,
LumpedHydrophobe,G785-0920,0.29,5.463,-4.65,,,
Donor,Z26788076,1.13,0.859,0.845,-0.21,0.899,-0.384
Acceptor,Z26788076,4.324,-3.307,1.342,-0.613,-0.723,-0.318
Acceptor,Z26788076,6.596,-2.222,1.376,0.955,0.027,-0.294
Acceptor,Z26788076,0.242,-0.969,1.968,0.105,-0.829,0.549
Acceptor,Z26788076,-4.08,3.62,-1.607,-0.597,0.76,0.257
Acceptor,Z26788076,-1.977,2.749,-2.693,0.855,0.158,-0.493
Aromatic,Z26788076,3.911,0.513,0.961,0.019,0.311,0.95
Aromatic,Z26788076,-2.578,0.905,0.665,-0.157,-0.856,-0.492
LumpedHydrophobe,Z26788076,3.911,0.513,0.961,,,
LumpedHydrophobe,Z26788076,-2.578,0.905,0.665,,,
Donor,Z26800884,1.258,0.861,0.36,-0.152,0.837,-0.526
Acceptor,Z26800884,4.24,-3.169,1.946,-0.65,-0.745,-0.147
Acceptor,Z26800884,6.564,-2.215,1.745,0.955,-0.086,-0.285
Acceptor,Z26800884,0.212,-1.031,1.24,0.014,-0.877,0.48
Acceptor,Z26800884,-4.851,1.904,-3.104,0.107,-0.095,-0.99
Acceptor,Z26800884,-5.335,3.315,-1.069,-0.228,0.88,0.417
Aromatic,Z26800884,4.012,0.49,0.726,0.037,-0.474,-0.88
Aromatic,Z26800884,-2.297,1.002,-0.404,0.491,0.322,-0.81
LumpedHydrophobe,Z26800884,4.012,0.49,0.726,,,
LumpedHydrophobe,Z26800884,-2.297,1.002,-0.404,,,
Donor,Z8786580910,0.807,0.933,1.783,0.035,0.919,-0.393
Donor,Z8786580910,7.626,-4.229,-3.5,0.634,-0.547,-0.547
Acceptor,Z8786580910,-2.826,1.453,-1.699,-0.629,0.362,-0.688
Acceptor,Z8786580910,0.496,2.588,-2.375,0.701,0.5,-0.508
Acceptor,Z8786580910,-0.272,-1.098,1.798,-0.124,-0.917,0.379
Acceptor,Z8786580910,7.117,-3.765,-1.368,0.318,0.119,0.941
PosIonizable,Z8786580910,4.112,-2.11,-1.427,,,
Aromatic,Z8786580910,-0.35,1.992,-1.757,0.142,-0.807,-0.573
Aromatic,Z8786580910,-6.027,-0.056,-0.751,-0.205,0.826,-0.526
Aromatic,Z8786580910,-1.916,0.962,-0.722,-0.178,0.808,0.562
Aromatic,Z8786580910,4.356,0.674,1.086,-0.53,0.358,-0.769
LumpedHydrophobe,Z8786580910,-6.027,-0.056,-0.751,,,
LumpedHydrophobe,Z8786580910,4.356,0.674,1.086,,,
LumpedHydrophobe,Z8786580910,-1.936,3.324,-3.923,,,
Donor,STK077824,-5.909,-4.073,-8.635,0.739,0.62,0.263
Donor,STK077824,-4.665,2.234,-2.071,0.539,0.351,-0.766
Donor,STK077824,1.335,0.917,1.228,-0.362,0.909,-0.205
Acceptor,STK077824,-5.216,-4.966,-6.396,0.825,-0.093,0.557
Acceptor,STK077824,-7.243,-5.972,-7.506,-0.576,-0.79,-0.21
Acceptor,STK077824,-5.875,0.029,-4.656,0.196,-0.164,-0.967
Acceptor,STK077824,-5.191,0.987,-3.971,0.691,0.553,-0.466
Acceptor,STK077824,-0.994,2.06,2.151,0.333,0.9,0.28
Acceptor,STK077824,0.692,-1.108,2.107,0.13,-0.988,0.085
Aromatic,STK077824,-8.149,-2.523,-5.857,-0.233,-0.621,0.748
Aromatic,STK077824,-6.144,0.241,-3.325,0.694,-0.676,0.246
Aromatic,STK077824,-7.411,-0.305,-1.295,0.706,-0.655,0.269
Aromatic,STK077824,-2.83,2.037,0.076,0.748,0.081,-0.659
LumpedHydrophobe,STK077824,-8.149,-2.523,-5.857,,,
LumpedHydrophobe,STK077824,-7.411,-0.305,-1.295,,,
LumpedHydrophobe,STK077824,-2.83,2.037,0.076,,,
LumpedHydrophobe,STK077824,-5.498,-4.899,-9.813,,,
Donor,C700-0425,6.034,-3.153,2.789,,,
Donor,C700-0425,6.211,-5.458,4.568,,,
Acceptor,C700-0425,0.375,-1.262,1.935,0.562,-0.768,0.307
Acceptor,C700-0425,-0.731,2.156,1.588,0.228,0.911,0.343
Acceptor,C700-0425,6.891,-1.886,1.062,0.728,0.176,-0.663
Acceptor,C700-0425,5.25,-7.065,5.904,-0.801,-0.527,0.283
Acceptor,C700-0425,7.47,-6.562,6.106,0.756,0.563,-0.335
