family,ligand_id,x,y,z,dx,dy,dz
Aromatic,OSSL_331145,-1.44,-1.628,0.784,-0.652,0.713,-0.259
LumpedHydrophobe,OSSL_331145,3.187,0.508,0.863,,,
LumpedHydrophobe,OSSL_331145,-1.44,-1.628,0.784,,,
Donor,00CS-0026,5.667,0.66,-0.066,0.46,0.405,0.79
Acceptor,00CS-0026,5.667,0.66,-0.066,0.985,0.003,-0.175
Aromatic,00CS-0026,2.946,0.632,0.373,0.077,-0.905,0.418
LumpedHydrophobe,00CS-0026,2.946,0.632,0.373,,,
LumpedHydrophobe,00CS-0026,-0.904,-0.025,-0.166,,,
Donor,Z8849623088,5.642,0.523,0.027,0.293,0.863,0.412
Acceptor,Z8849623088,-3.851,-3.163,0.193,0.591,-0.636,-0.496
Acceptor,Z8849623088,5.642,0.523,0.027,0.979,0.116,-0.167
Aromatic,Z8849623088,-1.247,-0.552,1.053,0.09,-0.855,-0.511
Aromatic,Z8849623088,2.946,0.168,0.466,-0.202,0.477,-0.855
LumpedHydrophobe,Z8849623088,-1.247,-0.552,1.053,,,
LumpedHydrophobe,Z8849623088,2.946,0.168,0.466,,,
Donor,0099-0217,5.822,0.602,0.081,0.331,0.942,0.046
Donor,0099-0217,1.932,2.843,1.628,-0.875,-0.226,0.429
Donor,0099-0217,-3.205,-3.561,-0.053,-0.612,-0.249,0.751
Acceptor,0099-0217,5.822,0.602,0.081,0.958,0.016,-0.287
Acceptor,0099-0217,1.932,2.843,1.628,-0.428,0.859,0.282
Acceptor,0099-0217,-0.016,1.284,2.394,-0.344,0.72,0.602
Acceptor,0099-0217,-3.205,-3.561,-0.053,-0.635,-0.702,-0.321
Aromatic,0099-0217,3.187,0.508,0.863,0.282,-0.14,0.949
Aromatic,0099-0217,-1.44,-1.628,0.784,-0.652,0.713,-0.259
LumpedHydrophobe,0099-0217,3.187,0.508,0.863,,,
LumpedHydrophobe,0099-0217,-1.44,-1.628,0.784,,,
Donor,OSSK_329587,5.667,0.66,-0.066,0.46,0.405,0.79
Acceptor,OSSK_329587,5.667,0.66,-0.066,0.985,0.003,-0.175
Aromatic,OSSK_329587,2.946,0.632,0.373,0.077,-0.905,0.418
LumpedHydrophobe,OSSK_329587,2.946,0.632,0.373,,,
LumpedHydrophobe,OSSK_329587,-0.904,-0.025,-0.166,,,
Donor,STK801744,5.822,0.602,0.081,0.331,0.942,0.046
Donor,STK801744,1.932,2.843,1.628,-0.875,-0.226,0.429
Donor,STK801744,-3.205,-3.561,-0.053,-0.612,-0.249,0.751
Acceptor,STK801744,5.822,0.602,0.081,0.958,0.016,-0.287
Acceptor,STK801744,1.932,2.843,1.628,-0.428,0.859,0.282
Acceptor,STK801744,-0.016,1.284,2.394,-0.344,0.72,0.602
Acceptor,STK801744,-3.205,-3.561,-0.053,-0.635,-0.702,-0.321
Aromatic,STK801744,3.187,0.508,0.863,0.282,-0.14,0.949
Aromatic,STK801744,-1.44,-1.628,0.784,-0.652,0.713,-0.259
LumpedHydrophobe,STK801744,3.187,0.508,0.863,,,
LumpedHydrophobe,STK801744,-1.44,-1.628,0.784,,,
Donor,Z56903635,-3.078,-3.206,-0.039,0.315,-0.655,0.687
Donor,Z56903635,5.444,0.474,-0.028,0.511,0.376,0.773
Acceptor,Z56903635,-3.078,-3.206,-0.039,-0.522,-0.846,-0.105
Acceptor,Z56903635,1.236,5.322,1.369,0.643,0.706,0.298
Acceptor,Z56903635,5.444,0.474,-0.028,0.968,-0.221,-0.121
Aromatic,Z56903635,-1.663,-0.854,0.212,0.698,-0.355,-0.621
Aromatic,Z56903635,2.768,1.068,0.268,-0.143,-0.872,0.469
LumpedHydrophobe,Z56903635,-1.663,-0.854,0.212,,,
LumpedHydrophobe,Z56903635,2.768,1.068,0.268,,,
Donor,Z5020304860,5.7,0.784,-0.07,0.375,0.287,0.882
Acceptor,Z5020304860,-3.498,-3.067,-0.216,-0.223,-0.967,0.122
Acceptor,Z5020304860,5.7,0.784,-0.07,0.966,0.227,-0.122
Aromatic,Z5020304860,-3.181,-1.706,-0.389,0.069,0.111,0.991
Aromatic,Z5020304860,0.948,-0.624,-0.78,0.248,-0.946,0.21
Aromatic,Z5020304860,3.037,0.146,0.218,-0.249,0.946,-0.209
LumpedHydrophobe,Z5020304860,0.948,-0.624,-0.78,,,
LumpedHydrophobe,Z5020304860,3.037,0.146,0.218,,,
Donor,Z2180011391,5.663,0.665,-0.056,0.483,0.401,0.779
Acceptor,Z2180011391,5.663,0.665,-0.056,0.983,-0.001,-0.183
Aromatic,Z2180011391,2.938,0.628,0.366,-0.078,0.903,-0.422
Aromatic,Z2180011391,-1.336,0.506,0.892,0.127,-0.162,0.978
LumpedHydrophobe,Z2180011391,2.938,0.628,0.366,,,
LumpedHydrophobe,Z2180011391,-1.336,0.506,0.892,,,
LumpedHydrophobe,Z2180011391,-3.385,-0.794,1.238,,,
Donor,STK801619,5.15,0.346,-0.04,0.451,0.401,0.798
Donor,STK801619,-6.817,-0.199,1.148,-0.221,0.956,0.193
Donor,STK801619,-3.165,-3.041,0.273,0.996,0.021,-0.089
Acceptor,STK801619,5.15,0.346,-0.04,0.989,-0.02,-0.146
Acceptor,STK801619,-0.802,-1.933,0.239,0.384,-0.9,-0.205
Acceptor,STK801619,-2.452,1.699,1.069,-0.396,0.895,0.203
Acceptor,STK801619,-6.817,-0.199,1.148,-0.989,0.095,0.114
Acceptor,STK801619,-3.165,-3.041,0.273,0.315,-0.928,-0.2
Aromatic,STK801619,2.421,0.378,0.321,0.05,-0.885,0.464
Aromatic,STK801619,-4.104,-0.503,0.828,0.096,-0.179,0.979
LumpedHydrophobe,STK801619,2.421,0.378,0.321,,,
LumpedHydrophobe,STK801619,-4.104,-0.503,0.828,,,
Donor,OSSK_098099,5.15,0.346,-0.04,0.451,0.401,0.798
Donor,OSSK_098099,-6.817,-0.199,1.148,-0.221,0.956,0.193
Donor,OSSK_098099,-3.165,-3.041,0.273,0.996,0.021,-0.089
Acceptor,OSSK_098099,5.15,0.346,-0.04,0.989,-0.02,-0.146
Acceptor,OSSK_098099,-0.802,-1.933,0.239,0.384,-0.9,-0.205
Acceptor,OSSK_098099,-2.452,1.699,1.069,-0.396,0.895,0.203
Acceptor,OSSK_098099,-6.817,-0.199,1.148,-0.989,0.095,0.114
Acceptor,OSSK_098099,-3.165,-3.041,0.273,0.315,-0.928,-0.2
Aromatic,OSSK_098099,2.421,0.378,0.321,0.05,-0.885,0.464
Aromatic,OSSK_098099,-4.104,-0.503,0.828,0.096,-0.179,0.979
LumpedHydrophobe,OSSK_098099,2.421,0.378,0.321,,,
LumpedHydrophobe,OSSK_098099,-4.104,-0.503,0.828,,,
Donor,Z5020307501,-3.169,-3.434,-0.068,-0.115,-0.563,0.819
Acceptor,Z5020307501,6.042,0.776,-0.038,0.985,0.158,-0.069
Acceptor,Z5020307501,5.444,2.97,0.367,0.228,0.965,0.131
Acceptor,Z5020307501,-3.169,-3.434,-0.068,-0.844,-0.53,-0.081
Aromatic,Z5020307501,2.708,0.435,0.219,0.093,-0.158,0.983
Aromatic,Z5020307501,-0.853,-1.954,0.11,-0.505,0.737,0.449
LumpedHydrophobe,Z5020307501,2.708,0.435,0.219,,,
LumpedHydrophobe,Z5020307501,-0.853,-1.954,0.11,,,
Donor,Z1824566795,-6.513,-0.097,1.471,-0.511,-0.849,-0.132
Donor,Z1824566795,-2.9,-3.011,0.333,-0.755,-0.654,-0.038
Donor,Z1824566795,5.4,0.519,-0.104,0.469,0.366,0.804
Acceptor,Z1824566795,-6.513,-0.097,1.471,-0.972,0.167,0.163
Acceptor,Z1824566795,-2.9,-3.011,0.333,0.325,-0.911,-0.254
Acceptor,Z1824566795,-0.45,-1.885,0.298,0.436,-0.866,-0.244
Acceptor,Z1824566795,-2.166,1.676,1.315,-0.395,0.882,0.258
Acceptor,Z1824566795,5.4,0.519,-0.104,0.984,0.01,-0.18
Aromatic,Z1824566795,-3.828,-0.51,1.03,0.124,-0.222,0.967
Aromatic,Z1824566795,2.685,0.471,0.352,0.085,-0.904,0.418
LumpedHydrophobe,Z1824566795,-3.828,-0.51,1.03,,,
LumpedHydrophobe,Z1824566795,2.685,0.471,0.352,,,
Donor,Z9101486005,5.242,0.269,0.124,0.669,0.732,0.131
Donor,Z9101486005,-2.676,-3.254,-0.152,-0.011,-0.601,0.799
Acceptor,Z9101486005,5.242,0.269,0.124,0.912,-0.365,-0.185
Acceptor,Z9101486005,-2.676,-3.254,-0.152,-0.754,-0.65,-0.089
Aromatic,Z9101486005,2.709,1.228,0.622,-0.089,0.267,-0.96
Aromatic,Z9101486005,-0.588,-1.48,0.132,0.612,-0.646,-0.456
LumpedHydrophobe,Z9101486005,2.709,1.228,0.622,,,
LumpedHydrophobe,Z9101486005,-0.588,-1.48,0.132,,,
LumpedHydrophobe,Z9101486005,-2.272,-1.342,-2.325,,,
Donor,Z5020305635,5.367,0.84,0.086,0.386,-0.823,0.417
