het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
IOF,c1cc(ccc1C(=O)NCc2cc(c(c(c2)F)F)F)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)NCc2cc(F)c(F)c(F)c2)cc1,7.4,4,3.35;5.91;8.22;9.64,pkasolver
IR,[Ir+4],[Ir+4],7.4,0,,pkasolver:no_ionizable
IT2,C1COCCN1C(=S)S,S=C([S-])[NH+]1CCOCC1,7.4,2,3.20;3.81,pkasolver
IT5,c1ccc(cc1)C2(CCN(CC2)C(=S)S)C#N,N#CC1(c2ccccc2)CC[NH+](C(=S)[S-])CC1,7.4,2,3.59;4.28,pkasolver
IW7,CCCCCNS(=O)(=O)c1cc(ccc1C(=O)O)S(=O)(=O)N,CCCCCNS(=O)(=O)c1cc(S(N)(=O)=O)ccc1C(=O)[O-],7.4,5,4.53;5.64;6.51;6.79;6.92,pkasolver
IWE,c1cc(sc1)CNc2cc(c(cc2c3[nH]nnn3)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,7.4,7,3.18;3.62;3.63;6.58;6.60;8.50;9.41,pkasolver
IZP,C[C@H](c1ccc(cc1)CC(C)C)C(=O)O,CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1,7.4,1,4.82,pkasolver
J04,COc1cc(cc(c1OC)OC)C[n+]2ccc3cc(c(cc3c2)OC)OS(=O)(=O)N,COc1cc2c[n+](Cc3cc(OC)c(OC)c(OC)c3)ccc2cc1OS(N)(=O)=O,7.4,2,7.01;8.21,pkasolver
J0A,C[C@]12C=Cc3c(ccc4c3cc(c(c4)OS(=O)(=O)N)OC)[C@@H]1CC[C@@H]2OS(=O)(=O)N,COc1cc2c3c(ccc2cc1OS(N)(=O)=O)[C@@H]1CC[C@H](OS([NH3+])(=O)=O)[C@@]1(C)C=C3,7.4,3,6.53;7.57;8.78,pkasolver
J0K,CC12C3([Ir]1456(C2(C4(C53C)C)C)([N]7=C(C=C(C=C7)O)C(=O)N6CCc8ccc(cc8)S(=O)(=O)N)Cl)C,C[C]12[C]3(C)[C]4(C)[C]5(C)[C]1(C)[Ir]23451([Cl])<-[n]2ccc([O-])cc2C(=O)[NH+]1CCc1ccc(S([NH-])(=O)=O)cc1,7.4,4,2.94;6.06;7.00;7.24,pkasolver
J0N,CC12C3([Ir]1456(C2(C4(C53C)C)C)([N]7=C(C=CC=C7)C(=O)N6CCc8ccc(cc8)S(=O)(=O)N)Cl)C,C[C]12[C]3(C)[C]4(C)[C]5(C)[C]1(C)[Ir]23451([Cl])<-[n]2ccccc2C(=O)[NH+]1CCc1ccc(S([NH-])(=O)=O)cc1,7.4,3,2.66;6.02;7.03,pkasolver
J3K,C[C@H](CN)O,C[C@@H](O)C[NH3+],7.4,2,9.29;9.63,pkasolver
J43,CSc1nc(c(c(n1)Cl)C=O)Nc2ccc(cc2)S(=O)(=O)N,CSc1nc(Cl)c(C=O)c(Nc2ccc(S(N)(=O)=O)cc2)n1,7.4,5,2.96;5.88;6.37;8.41;8.70,pkasolver
J45,c1cc(ccc1Nc2c(c(ncn2)Cl)[N+](=O)[O-])S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2ncnc(Cl)c2[N+](=O)[O-])cc1,7.4,5,2.63;5.72;6.06;8.07;8.58,pkasolver
J4K,c1cc(ccc1OCc2[nH]nnn2)Cl,Clc1ccc(OCc2nnn[n-]2)cc1,7.4,4,3.22;3.25;3.56;4.95,pkasolver
J6V,Cc1cc(ccc1F)NC(=O)Nc2cc(cc(c2O)[N+](=O)[O-])S(=O)(=O)N,Cc1cc(NC(=O)Nc2cc(S(N)(=O)=O)cc([N+](=O)[O-])c2O)ccc1F,7.4,6,3.46;6.69;8.34;8.94;9.15;9.32,pkasolver
J71,COc1c(c(ncn1)NCc2ccc(cc2)S(=O)(=O)N)[N+](=O)[O-],COc1ncnc(NCc2ccc(S(N)(=O)=O)cc2)c1[N+](=O)[O-],7.4,5,2.89;3.50;6.47;8.37;9.42,pkasolver
J74,c1cc(ccc1CCNc2c(c(ncn2)Cl)[N+](=O)[O-])S(=O)(=O)N,NS(=O)(=O)c1ccc(CCNc2ncnc(Cl)c2[N+](=O)[O-])cc1,7.4,5,2.75;3.46;6.46;8.44;8.66,pkasolver
J75,c1ccc(cc1)CNc2c(c(ncn2)NCc3ccc(cc3)S(=O)(=O)N)[N+](=O)[O-],NS(=O)(=O)c1ccc(CNc2ncnc(NCc3ccccc3)c2[N+](=O)[O-])cc1,7.4,7,3.53;3.83;4.24;6.65;8.35;9.30;10.12,pkasolver
J90,c1cc(ccc1CNC2=C(C(=O)NC=N2)[N+](=O)[O-])S(=O)(=O)N,NS(=O)(=O)c1ccc(CNc2nc[nH]c(=O)c2[N+](=O)[O-])cc1,7.4,6,4.07;4.21;6.26;8.10;9.26;10.06,pkasolver
