target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
esr1,VQI,"(E)-3-[4-(6-hydroxy-2-isobutyl-7-methyl-3,4-dihydro-1H-isoquinolin-1-yl)phenyl]prop-2-enoic acid",yes,5FQV,26819673,10.1021/ACSMEDCHEMLETT.5B00413,Tetrahydroisoquinoline Phenols: Selective Estrogen Receptor Downregulator Antagonists with Oral Bioavailability in Rat.
esr1,WST,"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL",no,2POG,17485205,10.1016/j.bmcl.2007.04.051,Benzopyrans as selective estrogen receptor beta agonists (SERBAs). Part 2: structure-activity relationship studies on the benzopyran scaffold.
esr1,WVR,"(3aR,4S,9bS)-4-(4-hydroxyphenyl)-2,3,3a,4,5,9b-hexahydro-1H-cyclopenta[c]quinoline-8-sulfonamide",no,8EV1,36516582,10.1016/j.ejmech.2022.115011,"Design, synthesis, biological evaluation and crystal structure determination of dual modulators of carbonic anhydrases and estrogen receptors."
esr1,WVW,"(3aS,4R,9bR)-4-(4-hydroxyphenyl)-2,3,3a,4,5,9b-hexahydro-1H-cyclopenta[c]quinoline-8-sulfonamide",no,8EV1,36516582,10.1016/j.ejmech.2022.115011,"Design, synthesis, biological evaluation and crystal structure determination of dual modulators of carbonic anhydrases and estrogen receptors."
esr1,XDH,"4,4'-propane-2,2-diylbis(2,6-dichlorophenol)",yes,4MGB,25260197,10.1289/ehp.1408453,Structural and functional profiling of environmental ligands for estrogen receptors.
esr1,ZHB,"(3S,7S,11E)-7,14,16-trihydroxy-3-methyl-3,4,5,6,7,8,9,10-octahydro-1H-2-benzoxacyclotetradecin-1-one",yes,9W11,,,Crystal Structure of the ER-alpha Ligand-binding Domain (Y537S) in Complex with beta-zearalenol
gaba_a,BEN,BENZAMIDINE,yes,4COF,24909990,10.1038/NATURE13293,Crystal Structure of a Human Gabaa Receptor
gaba_a,BUA,butanoic acid,yes,9HAA,,,Structural basis for activation and potentiation in a human a5b3 GABAA receptor
gaba_a,IYJ,"(6M)-6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",yes,9DRX,39843743,10.1038/s41586-024-08454-1,Resolving native GABA A receptor structures from the human brain.
nachr_a4b2,083,"4,6-dimethyl-N'-(3-pyridin-2-ylisoquinolin-1-yl)pyrimidine-2-carboximidamide",yes,4BFQ,23695669,10.1038/NCOMMS2900,Assembly of a Pi-Pi Stack of Ligands in the Binding Site of an Acetylcholine Binding Protein
nachr_a4b2,09O,"1-(pyridin-3-yl)-1,4-diazepane",yes,3U8J,22170047,10.1074/jbc.M111.292243,Intersubunit bridge formation governs agonist efficacy at nicotinic acetylcholine alpha 4 beta 2 receptors: unique role of halogen bonding revealed.
nachr_a4b2,09P,"1-(5-ethoxypyridin-3-yl)-1,4-diazepane",no,3U8K,22170047,10.1074/jbc.M111.292243,Intersubunit bridge formation governs agonist efficacy at nicotinic acetylcholine alpha 4 beta 2 receptors: unique role of halogen bonding revealed.
